City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
377,oga,81,IT,1590356670,74,46.46,10.35,48.2,1.12
378,sanghar,8,PK,1590356647,31,26.05,68.95,89.76,12.55
379,byron bay,40,AU,1590356671,71,-28.65,153.62,57.0,6.93
380,yerbogachen,93,RU,1590356671,57,61.28,108.01,62.96,3.4
381,kampot,40,KH,1590356671,94,10.62,104.18,78.8,3.36
382,nikolskoye,95,RU,1590356673,46,59.7,30.79,50.0,4.47
383,port-gentil,40,GA,1590356673,88,-0.72,8.78,82.4,4.7
384,wakkanai,100,JP,1590356673,99,45.41,141.67,49.6,9.75
385,riyadh,0,SA,1590356612,20,24.69,46.72,86.0,2.24
386,college,90,US,1590356506,51,64.86,-147.8,60.8,3.36
387,vitoria,20,BR,1590356599,83,-20.32,-40.34,78.8,3.36
388,ixtapa,5,MX,1590356674,65,20.7,-105.2,81.0,11.41
389,kahului,40,US,1590356445,51,20.89,-156.47,84.2,16.11
390,shrigonda,3,IN,1590356675,33,18.62,74.68,85.28,12.28
391,ocos,20,GT,1590356675,66,14.51,-92.19,93.2,8.05
392,kultuk,52,RU,1590356675,77,51.72,103.7,50.72,7.07
393,komsomolskiy,66,UZ,1590356676,43,40.43,71.72,73.4,6.93
394,hanzhong,100,CN,1590356676,89,33.07,107.03,55.44,1.23
395,pacific grove,1,US,1590356463,63,36.62,-121.92,82.99,6.93
396,muroto,100,JP,1590356677,76,33.28,134.15,69.12,5.48
397,praya,40,CV,1590356677,73,14.92,-23.51,73.4,14.99
398,la ronge,40,CA,1590356677,32,55.1,-105.28,68.0,8.05
399,arman,100,RU,1590356677,79,59.7,150.17,40.64,2.37
400,fortuna,20,US,1590356678,77,40.6,-124.16,64.99,17.22
401,dedza,0,MW,1590356678,83,-14.38,34.33,52.63,2.21
402,bonthe,3,SL,1590356678,83,7.53,-12.51,80.26,3.76
403,marawi,60,PH,1590356678,89,8.0,124.29,75.99,5.01
404,kasempa,0,ZM,1590356679,63,-13.46,25.83,59.07,3.67
405,koplik,75,AL,1590356679,37,42.21,19.44,68.0,13.87
406,concord,1,US,1590356634,22,37.98,-122.03,90.0,5.82
407,larkana,0,PK,1590356680,62,27.56,68.21,86.0,4.97
408,kunming,80,CN,1590356681,72,25.04,102.72,66.0,8.95
409,puerto del rosario,20,ES,1590356681,69,28.5,-13.86,75.2,6.93
410,sinjai,100,ID,1590356681,89,-5.12,120.25,76.44,1.99
411,itarema,0,BR,1590356681,88,-2.92,-39.92,78.51,7.43
412,akyab,14,MM,1590356682,78,20.15,92.9,82.33,5.06
413,chicama,12,PE,1590356682,66,-7.84,-79.15,72.7,7.58
414,kudahuvadhoo,100,MV,1590356682,78,2.67,72.89,84.7,18.23
415,hirara,45,JP,1590356683,82,24.8,125.28,77.59,8.16
416,myitkyina,94,MM,1590356683,95,25.38,97.4,72.75,0.96
417,dauriya,30,RU,1590356683,65,49.93,116.87,49.26,8.9
418,talcahuano,20,CL,1590356415,93,-36.72,-73.12,60.8,8.05
419,henties bay,0,NA,1590356684,75,-22.12,14.28,61.68,9.24
420,port blair,100,IN,1590356684,81,11.67,92.75,83.28,9.37
421,san patricio,40,MX,1590356684,83,19.22,-104.7,82.4,11.41
422,lamar,90,US,1590356684,74,33.67,-95.58,82.0,3.36
423,teknaf,35,BD,1590356684,86,20.86,92.31,79.72,8.08
424,naze,33,JP,1590356685,94,28.37,129.48,71.6,4.7
425,qaqortoq,0,GL,1590356685,30,60.72,-46.03,55.4,11.41
426,mogocha,69,RU,1590356685,59,53.73,119.77,48.49,3.69
427,kisangani,90,CD,1590356685,94,0.52,25.2,72.25,1.05
428,deolali,0,IN,1590356686,59,19.95,73.83,77.31,7.83
429,katobu,100,ID,1590356686,93,-4.94,122.53,76.48,4.94
430,kupang,20,ID,1590356686,88,-10.17,123.58,77.0,9.17
431,sao joao da barra,90,BR,1590356428,88,-21.64,-41.05,71.6,11.41
432,coacoyul,0,MX,1590356687,15,17.81,-99.11,99.0,8.01
433,manzhouli,17,CN,1590356687,64,49.6,117.43,49.37,12.64
434,kant,0,IN,1590356687,12,27.8,79.8,93.34,12.08
435,kaitangata,99,NZ,1590356688,88,-46.28,169.85,50.0,3.0
436,mishkino,87,RU,1590356688,84,55.34,63.92,65.43,6.96
437,ust-omchug,99,RU,1590356688,81,61.15,149.63,36.86,1.7
438,evansville,40,US,1590356504,54,37.97,-87.56,86.0,12.75
439,marsabit,2,KE,1590356689,74,2.33,37.99,67.32,19.15
440,strezhevoy,97,RU,1590356689,67,60.73,77.59,59.0,6.71
441,san felipe,100,VE,1590356689,59,10.34,-68.74,85.48,4.25
442,ballina,40,AU,1590356690,71,-28.87,153.57,57.0,6.93
443,kruisfontein,27,ZA,1590356690,89,-34.0,24.73,51.19,2.35
444,naryan-mar,0,RU,1590356690,80,67.67,53.09,37.31,5.64
445,antequera,88,ES,1590356690,68,37.02,-4.56,69.01,2.24
446,iki-burul,95,RU,1590356690,71,45.82,44.65,55.4,4.47
447,sucua,40,EC,1590356691,83,-2.47,-78.17,73.4,5.82
448,benguela,0,AO,1590356691,82,-12.58,13.41,73.54,1.9
449,tual,100,ID,1590356691,84,-5.67,132.75,81.01,24.52
450,sao joao da boa vista,100,BR,1590356691,88,-21.97,-46.8,51.48,3.13
451,zhigansk,45,RU,1590356692,48,66.77,123.37,60.94,7.99
452,jackson,1,US,1590356692,23,42.42,-122.83,79.0,5.82
453,saraland,20,US,1590356692,58,30.82,-88.07,88.0,10.29
454,banda aceh,100,ID,1590356692,83,5.56,95.32,78.06,12.17
455,yen bai,100,VN,1590356693,90,21.7,104.87,79.54,2.55
456,khon buri,100,TH,1590356693,82,14.53,102.25,78.22,4.9
457,peno,69,RU,1590356693,86,56.93,32.74,41.5,3.36
458,oussouye,0,SN,1590356693,83,12.48,-16.55,77.0,4.7
459,codo,59,BR,1590356694,94,-4.46,-43.89,75.74,2.21
460,athabasca,36,CA,1590356694,41,54.72,-113.29,69.55,7.87
461,iqaluit,75,CA,1590356694,74,63.75,-68.51,28.4,6.93
462,selma,0,US,1590356694,22,36.57,-119.61,86.0,7.56
463,springbok,0,ZA,1590356695,66,-29.66,17.89,50.27,5.01
464,bambous virieux,40,MU,1590356695,88,-20.34,57.76,69.8,3.36
465,eyrarbakki,20,IS,1590356695,75,63.86,-21.15,44.6,12.75
466,tessalit,0,ML,1590356696,15,20.2,1.01,81.64,5.32
467,mareeba,55,AU,1590356696,90,-17.0,145.43,54.0,1.01
468,kumano,75,JP,1590356696,77,34.34,132.59,69.8,4.7
469,mugur-aksy,75,RU,1590356697,54,50.35,90.5,47.3,3.18
470,kapasan,79,ID,1590356697,89,-6.78,111.38,77.29,3.33
471,miyako,96,JP,1590356697,88,39.64,141.95,62.1,7.49
472,seoul,90,KR,1590356625,93,37.57,126.98,59.0,3.36
473,grindavik,20,IS,1590356698,81,63.84,-22.43,44.6,11.41
474,voh,100,NC,1590356698,87,-20.97,164.7,66.74,3.98
475,oskarshamn,87,SE,1590356698,89,57.26,16.45,46.99,6.55
476,robat karim,75,IR,1590356686,31,35.48,51.08,84.2,6.93
477,masallatah,0,LY,1590356699,67,32.62,14.0,63.93,11.05
478,krasnoselkup,66,RU,1590356699,65,65.7,82.47,42.51,12.71
